Site,Age (yr bp1950),T annual anom (oC),
GISP2,3265.39,2.859,
GISP2,3270.44,2.732,
GISP2,3275.50,2.601,
GISP2,3280.56,2.459,
GISP2,3285.63,2.300,
GISP2,3290.70,2.127,
GISP2,3295.78,1.969,
GISP2,3300.87,1.846,
GISP2,3305.95,1.740,
GISP2,3311.05,1.633,
GISP2,3316.15,1.523,
GISP2,3321.26,1.417,
GISP2,3326.37,1.312,
GISP2,3331.49,1.213,
GISP2,3336.61,1.136,
GISP2,3341.75,1.078,
GISP2,3346.88,1.029,
GISP2,3352.02,0.981,
GISP2,3357.17,0.939,
GISP2,3362.33,0.900,
GISP2,3367.48,0.854,
GISP2,3372.65,0.793,
GISP2,3377.82,0.717,
GISP2,3383.00,0.642,
GISP2,3388.18,0.595,
GISP2,3393.37,0.607,
GISP2,3398.56,0.700,
GISP2,3403.75,0.842,
GISP2,3408.95,0.980,
GISP2,3414.15,1.090,
GISP2,3419.35,1.185,
GISP2,3424.56,1.306,
GISP2,3429.77,1.458,
GISP2,3434.98,1.609,
GISP2,3440.20,1.740,
GISP2,3445.41,1.880,
GISP2,3450.63,2.045,
GISP2,3455.85,2.201,
GISP2,3461.07,2.304,
GISP2,3466.29,2.339,
GISP2,3471.50,2.320,
GISP2,3476.72,2.243,
GISP2,3481.94,2.111,
GISP2,3487.16,1.943,
GISP2,3492.38,1.775,
GISP2,3497.60,1.618,
GISP2,3502.81,1.450,
GISP2,3508.02,1.275,
GISP2,3513.24,1.145,
GISP2,3518.44,1.097,
GISP2,3523.65,1.124,
GISP2,3528.85,1.189,
GISP2,3534.06,1.270,
GISP2,3539.25,1.364,
GISP2,3544.45,1.449,
GISP2,3549.63,1.485,
GISP2,3554.82,1.459,
GISP2,3560.00,1.421,
GISP2,3565.18,1.426,
GISP2,3570.34,1.451,
GISP2,3575.51,1.424,
GISP2,3580.67,1.345,
GISP2,3585.82,1.296,
GISP2,3590.97,1.332,
GISP2,3596.11,1.419,
GISP2,3601.24,1.490,
GISP2,3606.38,1.511,
GISP2,3611.50,1.496,
GISP2,3616.62,1.482,
GISP2,3621.72,1.488,
GISP2,3626.83,1.491,
GISP2,3631.93,1.480,
GISP2,3637.03,1.476,
GISP2,3642.12,1.502,
GISP2,3647.20,1.574,
GISP2,3652.28,1.691,
GISP2,3657.36,1.821,
GISP2,3662.43,1.893,
GISP2,3667.50,1.867,
GISP2,3672.56,1.767,
GISP2,3677.62,1.641,
GISP2,3682.68,1.529,
GISP2,3687.73,1.451,
GISP2,3692.78,1.408,
GISP2,3697.82,1.395,
GISP2,3702.86,1.418,
GISP2,3707.91,1.484,
GISP2,3712.94,1.579,
GISP2,3717.98,1.661,
GISP2,3723.01,1.698,
GISP2,3728.04,1.693,
GISP2,3733.07,1.657,
GISP2,3738.09,1.612,
GISP2,3743.12,1.580,
GISP2,3748.14,1.567,
GISP2,3753.16,1.550,
GISP2,3758.18,1.499,
GISP2,3763.20,1.417,
GISP2,3768.22,1.325,
GISP2,3773.24,1.261,
GISP2,3778.26,1.239,
GISP2,3783.27,1.236,
GISP2,3788.29,1.244,
GISP2,3793.31,1.274,
GISP2,3798.32,1.336,
GISP2,3803.34,1.399,
GISP2,3808.36,1.427,
GISP2,3813.38,1.394,
GISP2,3818.40,1.297,
GISP2,3823.42,1.168,
GISP2,3828.44,1.037,
GISP2,3833.47,0.926,
GISP2,3838.49,0.856,
GISP2,3843.52,0.841,
GISP2,3848.55,0.872,
GISP2,3853.58,0.924,
GISP2,3858.61,0.989,
GISP2,3863.65,1.061,
GISP2,3868.68,1.123,
GISP2,3873.72,1.153,
GISP2,3878.76,1.134,
GISP2,3883.81,1.070,
GISP2,3888.86,0.995,
GISP2,3893.91,0.958,
GISP2,3898.96,0.974,
GISP2,3904.02,1.042,
GISP2,3909.07,1.144,
GISP2,3914.13,1.253,
GISP2,3919.19,1.362,
GISP2,3924.26,1.477,
GISP2,3929.32,1.603,
GISP2,3934.39,1.707,
GISP2,3939.46,1.767,
GISP2,3944.53,1.803,
GISP2,3949.60,1.852,
GISP2,3954.67,1.917,
GISP2,3959.74,1.953,
GISP2,3964.82,1.913,
GISP2,3969.89,1.813,
GISP2,3974.97,1.694,
GISP2,3980.04,1.585,
GISP2,3985.12,1.485,
GISP2,3990.20,1.405,
GISP2,3995.28,1.384,
GISP2,4000.35,1.451,
GISP2,4005.43,1.592,
GISP2,4010.51,1.744,
GISP2,4015.59,1.841,
GISP2,4020.67,1.862,
GISP2,4025.75,1.834,
GISP2,4030.82,1.806,
GISP2,4035.90,1.821,
GISP2,4040.98,1.875,
GISP2,4046.06,1.920,
GISP2,4051.14,1.942,
GISP2,4056.21,1.965,
GISP2,4061.29,2.009,
GISP2,4066.37,2.047,
GISP2,4071.44,2.026,
GISP2,4076.52,1.933,
GISP2,4081.59,1.810,
GISP2,4086.66,1.707,
GISP2,4091.74,1.635,
GISP2,4096.81,1.563,
GISP2,4101.88,1.474,
GISP2,4106.95,1.387,
GISP2,4112.02,1.339,
GISP2,4117.08,1.340,
GISP2,4122.15,1.369,
GISP2,4127.21,1.410,
GISP2,4132.28,1.454,
GISP2,4137.34,1.479,
GISP2,4142.40,1.472,
GISP2,4147.46,1.445,
GISP2,4152.51,1.412,
GISP2,4157.57,1.389,
GISP2,4162.62,1.380,
GISP2,4167.67,1.368,
GISP2,4172.72,1.342,
GISP2,4177.77,1.314,
GISP2,4182.82,1.298,
GISP2,4187.86,1.277,
GISP2,4192.90,1.254,
GISP2,4197.94,1.263,
GISP2,4202.98,1.332,
GISP2,4208.01,1.455,
GISP2,4213.05,1.631,
GISP2,4218.08,1.836,
GISP2,4223.10,2.014,
GISP2,4228.13,2.110,
GISP2,4233.15,2.106,
GISP2,4238.17,2.017,
GISP2,4243.19,1.877,
GISP2,4248.20,1.705,
GISP2,4253.21,1.506,
GISP2,4258.22,1.305,
GISP2,4263.23,1.178,
GISP2,4268.23,1.159,
GISP2,4273.23,1.199,
GISP2,4278.22,1.234,
GISP2,4283.21,1.242,
GISP2,4288.20,1.237,
GISP2,4293.19,1.238,
GISP2,4298.17,1.212,
GISP2,4303.15,1.112,
GISP2,4308.12,0.965,
GISP2,4313.09,0.857,
GISP2,4318.06,0.839,
GISP2,4323.02,0.863,
GISP2,4327.98,0.888,
GISP2,4332.94,0.931,
GISP2,4337.89,1.027,
GISP2,4342.84,1.194,
GISP2,4347.78,1.367,
GISP2,4352.72,1.463,
GISP2,4357.65,1.463,
GISP2,4362.59,1.423,
GISP2,4367.51,1.409,
GISP2,4372.43,1.422,
GISP2,4377.35,1.452,
GISP2,4382.26,1.486,
GISP2,4387.17,1.536,
GISP2,4392.07,1.632,
GISP2,4396.97,1.759,
GISP2,4401.87,1.839,
GISP2,4406.75,1.792,
GISP2,4411.64,1.621,
GISP2,4416.52,1.387,
GISP2,4421.39,1.147,
GISP2,4426.26,0.936,
GISP2,4431.13,0.774,
GISP2,4435.99,0.693,
GISP2,4440.85,0.707,
GISP2,4445.71,0.798,
GISP2,4450.56,0.913,
GISP2,4455.41,1.017,
GISP2,4460.26,1.121,
GISP2,4465.11,1.239,
GISP2,4469.95,1.373,
GISP2,4474.79,1.485,
GISP2,4479.63,1.544,
GISP2,4484.47,1.553,
GISP2,4489.31,1.535,
GISP2,4494.14,1.501,
GISP2,4498.98,1.436,
GISP2,4503.81,1.356,
GISP2,4508.65,1.299,
GISP2,4513.48,1.305,
GISP2,4518.31,1.400,
GISP2,4523.15,1.553,
GISP2,4527.98,1.707,
GISP2,4532.82,1.798,
GISP2,4537.65,1.794,
GISP2,4542.49,1.704,
GISP2,4547.32,1.558,
GISP2,4552.16,1.386,
GISP2,4557.00,1.190,
GISP2,4561.84,0.979,
GISP2,4566.67,0.824,
GISP2,4571.51,0.768,
GISP2,4576.35,0.774,
GISP2,4581.19,0.773,
GISP2,4586.03,0.723,
GISP2,4590.87,0.635,
GISP2,4595.71,0.524,
GISP2,4600.56,0.389,
GISP2,4605.40,0.255,
GISP2,4610.24,0.182,
GISP2,4615.08,0.232,
GISP2,4619.93,0.399,
GISP2,4624.77,0.622,
GISP2,4629.62,0.854,
GISP2,4634.46,1.074,
GISP2,4639.31,1.257,
GISP2,4644.15,1.372,
GISP2,4649.00,1.416,
GISP2,4653.85,1.418,
GISP2,4658.70,1.432,
GISP2,4663.55,1.467,
GISP2,4668.39,1.483,
GISP2,4673.24,1.434,
GISP2,4678.09,1.316,
GISP2,4682.94,1.161,
GISP2,4687.79,0.984,
