time,wu_tsi
-915,1360.4731000000002
-905,1360.4725999999998
-895,1360.5695
-885,1360.71885
-875,1360.8915
-865,1361.03795
-855,1361.1078499999999
-845,1361.0874999999999
-835,1361.0286499999997
-825,1361.0210000000002
-815,1361.07405
-805,1361.0276500000002
-795,1360.9193500000001
-785,1360.911
-775,1360.9254
-765,1360.9234000000001
-755,1360.9683
-745,1360.9959999999999
-735,1360.9206
-725,1360.8836000000003
-715,1360.8911000000003
-705,1360.9460000000001
-695,1360.91005
-685,1360.67895
-675,1360.5013000000004
-665,1360.4502
-655,1360.43255
-645,1360.4078000000002
-635,1360.4104
-625,1360.46555
-615,1360.6028
-605,1360.8304999999998
-595,1361.0538000000001
-585,1361.1407000000002
-575,1360.97795
-565,1360.75875
-555,1360.6707000000001
-545,1360.5787
-535,1360.4786000000001
-525,1360.4076
-515,1360.2832
-505,1360.1392
-495,1360.2007
-485,1360.3212
-475,1360.3862999999997
-465,1360.42845
-455,1360.4482500000001
-445,1360.4077
-435,1360.3758999999998
-425,1360.3951000000002
-415,1360.52565
-405,1360.67365
-395,1360.7681499999999
-385,1360.8126499999998
-375,1360.85585
-365,1360.93395
-355,1361.0273
-345,1361.04065
-335,1360.9780500000002
-325,1360.86925
-315,1360.7202000000004
-305,1360.6283500000002
-295,1360.55815
-285,1360.4284000000002
-275,1360.3573000000001
-265,1360.31125
-255,1360.294
-245,1360.44785
-235,1360.6420500000002
-225,1360.9342499999998
-215,1361.1340500000001
-205,1361.1131500000001
