id,tau,E,train_len,train_ind_i,knn,Tp_flag,Tp,lag,Tp_lag_total,sample,weighted,target_var,col_var,surr_var,surr_num,col_var_id,target_var_id
1786473082948,1,7,,0,20,,1,9,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082949,1,7,,0,20,,1,10,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082950,1,7,,0,20,,1,11,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082951,1,7,,0,20,,1,12,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082953,1,7,,0,20,,1,13,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082954,1,7,,0,20,,1,14,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082955,1,7,,0,20,,1,15,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082956,1,7,,0,20,,1,16,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082958,1,7,,0,20,,1,17,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082959,1,7,,0,20,,1,18,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082960,1,7,,0,20,,1,19,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082961,1,7,,0,20,,1,20,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082963,1,7,,0,20,,1,21,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082964,1,7,,0,20,,1,22,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082965,1,7,,0,20,,1,23,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082967,1,7,,0,20,,1,24,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082968,1,7,,0,20,,1,25,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082969,1,7,,0,20,,1,26,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082970,1,7,,0,20,,1,27,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082972,1,7,,0,20,,1,28,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082973,1,7,,0,20,,1,29,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082974,1,7,,0,20,,1,30,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082975,1,7,,0,20,,1,31,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082977,1,7,,0,20,,1,32,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082978,1,7,,0,20,,1,33,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082979,1,7,,0,20,,1,34,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082980,1,7,,0,20,,1,35,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082982,1,7,,0,20,,1,36,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082983,1,7,,0,20,,1,37,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
1786473082984,1,7,,0,20,,1,38,32,100,False,TSI,temp,neither,0,Erb22daGMST,Wu18TSI
