col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,3,22,neither,0,0
Erb22daGMST,Wu18TSI,5,3,23,neither,0,0
Erb22daGMST,Wu18TSI,5,3,24,neither,0,0
Erb22daGMST,Wu18TSI,5,3,25,neither,0,0
Erb22daGMST,Wu18TSI,5,3,26,neither,0,0
Erb22daGMST,Wu18TSI,5,3,27,neither,0,0
Erb22daGMST,Wu18TSI,5,3,28,neither,0,0
Erb22daGMST,Wu18TSI,5,3,29,neither,0,0
Erb22daGMST,Wu18TSI,5,3,30,neither,0,0
Erb22daGMST,Wu18TSI,5,3,31,neither,0,0
Erb22daGMST,Wu18TSI,5,3,32,neither,0,0
Erb22daGMST,Wu18TSI,5,3,33,neither,0,0
Erb22daGMST,Wu18TSI,5,3,34,neither,0,0
Erb22daGMST,Wu18TSI,5,3,35,neither,0,0
Erb22daGMST,Wu18TSI,5,3,36,neither,0,0
Erb22daGMST,Wu18TSI,5,3,37,neither,0,0
Erb22daGMST,Wu18TSI,5,3,38,neither,0,0
Erb22daGMST,Wu18TSI,5,3,39,neither,0,0
Erb22daGMST,Wu18TSI,5,3,40,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-41,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-40,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-39,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-38,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-37,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-36,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-35,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-34,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-33,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-32,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-31,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-30,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-29,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-28,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-27,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-26,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-25,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-24,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-23,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-22,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-21,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-20,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-19,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-18,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-17,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-16,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-15,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-14,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-13,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-12,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-11,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-10,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-9,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-8,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-7,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-6,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-5,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-4,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-3,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-2,neither,0,0
Erb22daGMST,Wu18TSI,5,4,-1,neither,0,0
Erb22daGMST,Wu18TSI,5,4,0,neither,0,0
Erb22daGMST,Wu18TSI,5,4,1,neither,0,0
Erb22daGMST,Wu18TSI,5,4,2,neither,0,0
Erb22daGMST,Wu18TSI,5,4,3,neither,0,0
Erb22daGMST,Wu18TSI,5,4,4,neither,0,0
Erb22daGMST,Wu18TSI,5,4,5,neither,0,0
Erb22daGMST,Wu18TSI,5,4,6,neither,0,0
Erb22daGMST,Wu18TSI,5,4,7,neither,0,0
Erb22daGMST,Wu18TSI,5,4,8,neither,0,0
Erb22daGMST,Wu18TSI,5,4,9,neither,0,0
Erb22daGMST,Wu18TSI,5,4,10,neither,0,0
Erb22daGMST,Wu18TSI,5,4,11,neither,0,0
Erb22daGMST,Wu18TSI,5,4,12,neither,0,0
Erb22daGMST,Wu18TSI,5,4,13,neither,0,0
Erb22daGMST,Wu18TSI,5,4,14,neither,0,0
Erb22daGMST,Wu18TSI,5,4,15,neither,0,0
Erb22daGMST,Wu18TSI,5,4,16,neither,0,0
Erb22daGMST,Wu18TSI,5,4,17,neither,0,0
Erb22daGMST,Wu18TSI,5,4,18,neither,0,0
Erb22daGMST,Wu18TSI,5,4,19,neither,0,0
Erb22daGMST,Wu18TSI,5,4,20,neither,0,0
Erb22daGMST,Wu18TSI,5,4,21,neither,0,0
Erb22daGMST,Wu18TSI,5,4,22,neither,0,0
Erb22daGMST,Wu18TSI,5,4,23,neither,0,0
Erb22daGMST,Wu18TSI,5,4,24,neither,0,0
Erb22daGMST,Wu18TSI,5,4,25,neither,0,0
Erb22daGMST,Wu18TSI,5,4,26,neither,0,0
