time,NGRIP1seierstad14d18O_decavg_d18O
-1345,-35.284749999999995
-1335,-35.32975
-1325,-35.271625
-1315,-35.129124999999995
-1305,-35.02375
-1295,-34.948750000000004
-1285,-34.99475000000001
-1275,-35.13975
-1265,-35.23112499999999
-1255,-35.278625
-1245,-35.30825
-1235,-35.323249999999994
-1225,-35.305249999999994
-1215,-35.26025
-1205,-35.23174999999999
-1195,-35.21675
-1185,-35.241625
-1175,-35.299125
-1165,-35.334625
-1155,-35.352125
-1145,-35.369625
-1135,-35.387125
-1125,-35.451375000000006
-1115,-35.553875000000005
-1105,-35.58625
-1095,-35.56125
-1085,-35.54725
-1075,-35.54225
-1065,-35.54825
-1055,-35.56325
-1045,-35.466874999999995
-1035,-35.279374999999995
-1025,-35.13862499999999
-1015,-35.03612499999999
-1005,-34.9955
-995,-35.0055
-985,-35.043000000000006
-975,-35.103
-965,-35.12175
-955,-35.10675
-945,-35.1935
-935,-35.363499999999995
-925,-35.529375
-915,-35.691874999999996
-905,-35.700374999999994
-895,-35.582875
-885,-35.46537500000001
-875,-35.347875
-865,-35.31425
-855,-35.34925
-845,-35.39525
-835,-35.450250000000004
-825,-35.479124999999996
-815,-35.486625
-805,-35.487249999999996
-795,-35.48225
-785,-35.50475
-775,-35.54975
-765,-35.54387499999999
-755,-35.49637499999999
-745,-35.419999999999995
-735,-35.32000000000001
-725,-35.345125
-715,-35.472625
-705,-35.54237499999999
-695,-35.56487500000001
-685,-35.511750000000006
-675,-35.396750000000004
-665,-35.28725
-655,-35.182249999999996
-645,-35.304125000000006
-635,-35.611625000000004
-625,-35.774750000000004
-615,-35.819750000000006
-605,-35.624125
-595,-35.231625
-585,-35.094875
-575,-35.167375
-565,-35.22475
-555,-35.26975
-545,-35.213
-535,-35.073
-525,-35.022375
-515,-35.04487499999999
-505,-35.177375
-495,-35.399875
-485,-35.49175
-475,-35.476749999999996
-465,-35.34075
-455,-35.10574999999999
-445,-35.1045
-435,-35.2945
-425,-35.473499999999994
-415,-35.6435
-405,-35.61
-395,-35.410000000000004
-385,-35.33512499999999
-375,-35.362625
-365,-35.419
-355,-35.499
-345,-35.48137499999999
-335,-35.383875
-325,-35.44862500000001
-315,-35.646125
-305,-35.74325
-295,-35.75825
-285,-35.752624999999995
-275,-35.730125
-265,-35.715875
-255,-35.708375
-245,-35.673375
-235,-35.615875
-225,-35.649125
-215,-35.756625
-205,-35.708749999999995
