,time,erb22GMSTanom_decavg_temp__detrendedlinear
362,-4425.0,0.03385534657366756
363,-4415.0,0.027753288875218347
364,-4405.0,0.04060143977676913
365,-4395.0,0.04533113587831991
366,-4385.0,0.0324562043798707
367,-4375.0,0.02843746228142148
368,-4365.0,0.03358949418297227
369,-4355.0,0.02776869248452305
370,-4345.0,0.024860410386073832
371,-4335.0,0.02766666428762462
372,-4325.0,0.043007581589175406
373,-4315.0,0.051473392690726184
374,-4305.0,0.05390611679227697
375,-4295.0,0.06122888689382776
376,-4285.0,0.06593645799537853
377,-4275.0,0.07096894709692933
378,-4265.0,0.0691430151984801
379,-4255.0,0.06792029130003088
380,-4245.0,0.06375248340158168
381,-4235.0,0.04576881150313246
382,-4225.0,0.048296753604683246
383,-4215.0,0.043607812706234025
384,-4205.0,0.036972154507784814
385,-4195.0,0.030517018309335595
386,-4185.0,0.03331869251088638
387,-4175.0,0.03581379311243717
388,-4165.0,0.039635444213987944
389,-4155.0,0.025894369315538734
390,-4145.0,0.025371511717089516
391,-4135.0,0.0266458565186403
392,-4125.0,0.018798611620191086
393,-4115.0,0.015231035721741868
394,-4105.0,0.01705222282329265
395,-4095.0,0.020504108924843438
396,-4085.0,0.02728802942639422
397,-4075.0,0.028146872527945004
398,-4065.0,0.019538518229495788
399,-4055.0,0.02297152533104657
400,-4045.0,0.03418024243259735
401,-4035.0,0.047436999534148136
402,-4025.0,0.046934004635698925
403,-4015.0,0.039347471737249715
404,-4005.0,0.027639027438800496
405,-3995.0,0.02308424654035128
406,-3985.0,0.027442609641902063
407,-3975.0,0.021831210143452847
408,-3965.0,0.01709123724500363
409,-3955.0,0.017552065346554416
410,-3945.0,0.016187911448105198
411,-3935.0,0.016940320549655982
412,-3925.0,0.013622170651206768
413,-3915.0,0.00570674575275755
414,-3905.0,0.0021321368543083356
415,-3895.0,0.014276252955859117
416,-3885.0,0.017077836057409902
417,-3875.0,0.015632774158960687
418,-3865.0,0.013831194260511472
419,-3855.0,0.010899997362062253
420,-3845.0,0.013229812463613037
421,-3835.0,0.015472791565163823
422,-3825.0,0.009708951666714608
423,-3815.0,-0.00938679023173461
424,-3805.0,-0.007955289130183826
425,-3795.0,-0.009838006028633044
426,-3785.0,-0.006815116927082254
427,-3775.0,0.0026747121744685257
428,-3765.0,0.005593454276019309
429,-3755.0,-0.006790647622429903
430,-3745.0,-0.0020126575208791186
431,-3735.0,-0.012715625419328337
432,-3725.0,-0.0067480093177775535
433,-3715.0,-0.0002445622162267694
434,-3705.0,-0.004390420114675983
435,-3695.0,-0.023460949013125204
436,-3685.0,-0.02452095091157442
437,-3675.0,-0.020786426810023635
438,-3665.0,-0.016436878708472852
439,-3655.0,-0.011360757606922067
440,-3645.0,-0.002753350505371281
441,-3635.0,0.0033096345961795004
442,-3625.0,0.007717974697730286
443,-3615.0,0.00842682079928107
444,-3605.0,0.006667599900831853
445,-3595.0,0.0005578680023826388
446,-3585.0,0.009382730103933423
447,-3575.0,0.017563134205484207
448,-3565.0,0.02969968014703499
449,-3555.0,0.027778812608585772
450,-3545.0,0.025285053010136557
451,-3535.0,0.01776418661168734
452,-3525.0,0.004390227713238125
453,-3515.0,-0.000911294185211086
454,-3505.0,0.0023187009163396985
455,-3495.0,0.001082155017890482
456,-3485.0,-0.004182540880558732
457,-3475.0,-0.006911894779007954
458,-3465.0,-0.0012548016774571666
459,-3455.0,-0.00656619257590638
460,-3445.0,-0.014468506474355599
461,-3435.0,-0.017715026372804813
462,-3425.0,-0.01841357427125403
463,-3415.0,-0.03673020616970324
464,-3405.0,-0.040794286068152455
465,-3395.0,-0.03723694396660168
466,-3385.0,-0.020038715865050894
467,-3375.0,-0.01099906576350011
468,-3365.0,-0.0026723816619493267
469,-3355.0,-0.005621489560398544
470,-3345.0,-0.007926737458847758
471,-3335.0,-0.005237945357296974
472,-3325.0,-0.007700381255746191
473,-3315.0,-0.010288717154195406
474,-3305.0,-0.008649553052644626
475,-3295.0,-0.012661943951093841
476,-3285.0,-0.004654928849543053
477,-3275.0,-0.0003584647479922716
478,-3265.0,0.0048292043535585125
479,-3255.0,0.012977043455109295
480,-3245.0,0.0007422895566600793
481,-3235.0,0.006731657658210866
482,-3225.0,0.021172392559761652
483,-3215.0,0.025373871561312433
484,-3205.0,0.03002151346286322
485,-3195.0,0.031067878164414003
486,-3185.0,0.023144627165964788
487,-3175.0,0.01168819126751557
488,-3165.0,0.011533390369066355
489,-3155.0,0.0045072774706171395
490,-3145.0,0.006641739572167921
491,-3135.0,0.026470072473718704
492,-3125.0,0.031114310375269492
493,-3115.0,0.029192519676820274
494,-3105.0,0.02686296827837106
495,-3095.0,0.022312531079921843
496,-3085.0,0.021030689781472628
497,-3075.0,0.02007678528302341
498,-3065.0,0.028085294084574195
499,-3055.0,0.03302905108612498
500,-3045.0,0.03154175088767576
501,-3035.0,0.03441296668922655
502,-3025.0,0.026847499190777332
503,-3015.0,0.022867530292328114
504,-3005.0,0.006910910993878899
505,-2995.0,0.015636737095429683
506,-2985.0,0.023501266196980466
507,-2975.0,0.02673161209853125
508,-2965.0,0.030235518400082033
509,-2955.0,0.03197559850163282
510,-2945.0,0.020446940003183603
511,-2935.0,0.01712555770473439
512,-2925.0,0.007122585806285171
513,-2915.0,0.005518102907835953
514,-2905.0,0.006462374009386738
515,-2895.0,0.005887837110937523
516,-2885.0,0.0025843292124883045
517,-2875.0,8.719131403909022e-05
518,-2865.0,-0.0009641145844101265
519,-2855.0,-0.0003093144828593408
520,-2845.0,0.002274234618691442
