time,tian22ht115kaallgmst
-2475,0.15389838643227982
-2465,0.14903073735391104
-2455,0.09562764592324591
-2445,0.1740617317691946
-2435,0.15541625447427165
-2425,0.20131202168618678
-2415,0.18879676289712322
-2405,0.20595870442544317
-2395,0.11445498891030681
-2385,0.09709020085488795
-2375,0.19174638219033646
-2365,0.15252738423501455
-2355,0.17261634297524786
-2345,0.17989421315347087
-2335,0.1754749817386756
-2325,0.19114995427285564
-2315,0.17488799519692755
-2305,0.13878302998696768
-2295,0.18539452977334392
-2285,0.1888189835086962
-2275,0.20310483403359747
-2265,0.12211938328896998
-2255,0.1855845970646044
-2245,0.16896472401772833
-2235,0.07086434788857865
-2225,0.07643924183999395
-2215,0.10942368931924307
-2205,0.08581204838906764
-2195,0.13028998799478053
-2185,0.05638652272378408
-2175,0.04130940861855947
-2165,0.12096524663125408
-2155,0.1740483803287649
-2145,0.07733903355752325
-2135,0.052702002002348536
-2125,0.030268434955228685
-2115,0.030203489734281774
-2105,0.22329326100503444
-2095,0.1492228073612356
-2085,0.053963045550931454
-2075,0.09372029729043341
-2065,0.115978960467924
-2055,0.1483959717289114
-2045,0.11925826497231817
-2035,0.20282731480752325
-2025,0.10946946568643057
-2015,0.14316821522866618
-2005,0.12955346532021927
-1995,0.08281951375161611
-1985,0.12488246388589275
-1975,0.08282275624429225
-1965,0.05179295964394903
-1955,0.05798678822671377
-1945,0.18764958806191778
-1935,0.1225662750736376
-1925,0.1923446220890188
-1915,0.17442861027871537
-1905,0.22474980778848064
-1895,0.10459313817178106
-1885,0.1181634468570838
-1875,0.08921208806191849
-1865,0.16098428197060954
-1855,0.13168597645913493
-1845,0.08682342000161647
-1835,0.09531169362222158
-1825,0.1576980156437049
-1815,0.08054671712075567
-1805,0.16455321736489736
-1795,0.03413930363809037
-1785,0.0528863472477088
-1775,0.1526832146183157
-1765,0.07406316228066778
-1755,0.06569304890786576
-1745,0.18275323338662552
-1735,0.07333646245156622
-1725,0.06704678960000443
-1715,0.16184363789712286
-1705,0.21090417332803213
-1695,0.15849080510293412
-1685,0.1433256668583045
-1675,0.1760177177921438
-1665,0.14217544026528728
-1655,0.05821814961587357
-1645,0.1762334389225142
-1635,0.13483243413125479
-1625,0.11924443669473028
-1615,0.2167750877872603
-1605,0.1583383125797404
-1595,0.15588155217324662
-1585,0.18558993764077591
-1575,0.16451678700600958
-1565,0.17860942311440908
-1555,0.16784196324502432
-1545,0.1933676285282271
-1535,0.214913420154204
-1525,0.16446805424844158
-1515,0.17093034215127467
-1505,0.16933122105752396
-1495,0.1847502274051802
-1485,0.1911570114627974
-1475,0.1751933617130419
-1465,0.2601576370731493
-1455,0.1140386147037642
-1445,0.15638843007241654
-1435,0.11217990346108841
-1425,0.15511107869302165
-1415,0.19613404698525905
-1405,0.21035781331216263
-1395,0.19388413853799236
-1385,0.21946978993569743
-1375,0.1373820824161669
-1365,0.12757049031411505
-1355,0.14307828374063014
-1345,0.17189460225259268
-1335,0.17651391453896892
-1325,0.12524285741006302
-1315,0.16789336629067897
-1305,0.20389342732583415
-1295,0.14197974629556143
-1285,0.14085612721597052
-1275,0.18053374715005255
-1265,0.1031418365970751
-1255,0.16374841160928177
-1245,0.14752603001748454
-1235,0.10396647877847087
-1225,0.12182193226968252
-1215,0.1725328964725623
-1205,0.2746614021793494
-1195,0.22030053563271856
-1185,0.1451758903995657
-1175,0.17233643956338263
-1165,0.17548308797036505
-1155,0.18670678563271892
-1145,0.14443698353921341
-1135,0.19544988103066885
-1125,0.15703750081216228
-1115,0.16209865040933025
-1105,0.11971469350015163
-1095,0.1362829727665087
-1085,0.19285626835977077
-1075,0.05539021916543341
-1065,0.16917882390176153
-1055,0.21056209035073614
-1045,0.1436377090946337
-1035,0.11367917485391033
-1025,0.2863409561649455
-1015,0.2135894341007365
-1005,0.25186858601724005
-995,0.22417016453896998
-985,0.2612410110965868
-975,0.2253534836307658
-965,0.15322080083047318
-955,0.165460257007231
-945,0.19849877782021963
-935,0.2634629768863821
-925,0.34675164647256373
-915,0.21304555363809108
-905,0.2746852440372596
-895,0.29352393574868607
-885,0.20458350606118536
-875,0.2825375122562548
-865,0.22325931019936895
-855,0.20634799428140127
-845,0.21201415486489772
-835,0.1578461212650435
-825,0.23870616383706533
-815,0.2124411148563521
-805,0.37409730382119655
-795,0.3291150612369673
-785,0.3362994713321825
-775,0.32181783147012233
-765,0.3374942345157752
-755,0.29441552586709463
-745,0.2824394745365275
-735,0.39265609212075603
-725,0.2962265533939501
-715,0.23756432957803142
-705,0.2142327827945838
-695,0.13652501530801153
-685,0.21512637562905645
-675,0.11429315037881338
-665,0.10131183095132279
-655,0.1721789879337443
-645,0.28385634846841334
-635,0.16724620289956427
-625,0.23484673924600052
-615,0.15614037938271963
-605,0.16654744572793412
-595,0.2974714798465872
-585,0.2445440811649462
-575,0.3035482925907278
-565,0.2396243614689002
-555,0.2017583412662649
-545,0.15978179402505255
-535,0.21455445714150834
-525,0.21434350438271998
-515,0.20379500813638174
-505,0.2247116608158244
-495,0.2651094955936575
-485,0.231500296069731
-475,0.35347028203164577
-465,0.3790488762394091
-455,0.37961125798379314
-445,0.3108862442508826
-435,0.24960790105019903
-425,0.32173619694863653
-415,0.3323706192508826
-405,0.26132808156167364
-395,0.39882893986855983
-385,0.3506201309696326
-375,0.3817919296756873
-365,0.2866941971317427
-355,0.3423769516483439
-345,0.26153426594888174
-335,0.20624003834878302
-325,0.23606830067788565
-315,0.30032611317788493
-305,0.27679906315957403
-295,0.25140967793618607
-285,0.25895200200234747
-275,0.29924693532144
-265,0.2853813690677782
-255,0.24880881734048366
-245,0.3556479019657264
-235,0.3003262085453162
-225,0.262917570544829
-215,0.2867991966739787
-205,0.3666985077396525
