time,GISP2seierstad14d18O_decavg_d18O
-1695,-34.686375000000005
-1685,-34.56637500000001
-1675,-34.468875
-1665,-34.50062499999999
-1655,-34.63812500000001
-1645,-34.72200000000001
-1635,-34.762
-1625,-34.797875
-1615,-34.830375
-1605,-34.849125
-1595,-34.856625
-1585,-34.748625
-1575,-34.546125
-1565,-34.343624999999996
-1555,-34.141125
-1545,-34.158624999999994
-1535,-34.356125
-1525,-34.51649999999999
-1515,-34.646499999999996
-1505,-34.722875
-1495,-34.755375
-1485,-34.818125
-1475,-34.905625
-1465,-34.900999999999996
-1455,-34.82099999999999
-1445,-34.747875
-1435,-34.680375
-1425,-34.66375
-1415,-34.68875
-1405,-34.71375
-1395,-34.73875000000001
-1385,-34.763749999999995
-1375,-34.78875000000001
-1365,-34.81375
-1355,-34.83875
-1345,-34.873374999999996
-1335,-34.91587500000001
-1325,-34.970749999999995
-1315,-35.03574999999999
-1305,-35.099374999999995
-1295,-35.161874999999995
-1285,-35.1845
-1275,-35.1745
-1265,-35.185125000000006
-1255,-35.212625
-1245,-35.176874999999995
-1235,-35.089375
-1225,-35.007375
-1215,-34.929874999999996
-1205,-34.933499999999995
-1195,-35.00349999999999
-1185,-35.04187499999999
-1175,-35.05437500000001
-1165,-35.094375
-1155,-35.156875
-1145,-35.183625
-1135,-35.181125
-1125,-35.217125
-1115,-35.284625
-1105,-35.336999999999996
-1095,-35.376999999999995
-1085,-35.322125
-1075,-35.189625
-1065,-35.095625000000005
-1055,-35.033125000000005
-1045,-34.904624999999996
-1035,-34.722125
-1025,-34.605624999999996
-1015,-34.543124999999996
-1005,-34.520500000000006
-995,-34.530499999999996
-985,-34.506125
-975,-34.453625
-965,-34.48225000000001
-955,-34.57724999999999
-945,-34.695625
-935,-34.833124999999995
-925,-34.95825
-915,-35.07325
-905,-35.097500000000004
-895,-35.0475
-885,-34.98925
-875,-34.92425
-865,-34.87849999999999
-855,-34.8485
-845,-34.759375000000006
-835,-34.621875
-825,-34.616375000000005
-815,-34.718875000000004
-805,-34.895624999999995
-795,-35.133125
-785,-35.23175
-775,-35.21675
-765,-35.123374999999996
-755,-34.965875
-745,-34.9005
-735,-34.9105
-725,-34.949374999999996
-715,-35.011874999999996
-705,-35.016625
-695,-34.974125
-685,-34.975624999999994
-675,-35.013125
-665,-35.0025
-655,-34.9525
-645,-34.9685
-635,-35.0385
-625,-35.147000000000006
-615,-35.28699999999999
-605,-35.326625
-595,-35.284125
-585,-35.21962499999999
-575,-35.13712499999999
-565,-35.03949999999999
-555,-34.9295
-545,-34.87175
-535,-34.85674999999999
-525,-34.867875
-515,-34.900375000000004
-505,-34.95075
-495,-35.01575
-485,-35.089
-475,-35.169
-465,-35.184375
-455,-35.14687500000001
-445,-35.1135
-435,-35.0835
-425,-35.04112500000001
-415,-34.988625
-405,-35.026875000000004
-395,-35.139375
-385,-35.21475
-375,-35.25975
-365,-35.20575
-355,-35.07075
-345,-35.051249999999996
-335,-35.126250000000006
-325,-35.175125
-315,-35.202625
-305,-35.1325
-295,-34.9825
-285,-34.95625
-275,-35.03125
-265,-35.13925
-255,-35.27424999999999
-245,-35.31712499999999
-235,-35.28462499999999
-225,-35.292
-215,-35.332
-205,-35.315625
